,Latitude,Longitude,pm25_daily_average(ug/m3),pm25_daily_average_stderr(ug/m3),month,year,geometry,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,percents,counts
39,32.61666,-117.06573,9.685893548387096,4.138277419354838,1.0,2015.0,POINT (-13031697.45294285 3844531.8315133415),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
40,32.61831,-117.03375,9.296312903225806,4.02506129032258,1.0,2015.0,POINT (-13028137.45562728 3844749.900834952),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
41,32.61868,-116.9473,8.031822580645162,3.6449193548387098,1.0,2015.0,POINT (-13018513.8856482 3844798.8017799407),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
42,32.62386,-117.05104,9.532032258064516,4.031874193548387,1.0,2015.0,POINT (-13030062.169623097 3845483.4362320546),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
43,32.62481,-117.09609,10.034593548387097,4.237232258064516,1.0,2015.0,POINT (-13035077.112683333 3845609.0009038644),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
44,32.62485,-117.07982,9.878883870967742,4.198590322580645,1.0,2015.0,POINT (-13033265.944568126 3845614.2878666534),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
45,32.62603,-116.99805,8.780729032258066,3.8365903225806455,1.0,2015.0,POINT (-13024163.34980596 3845770.2543318733),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
46,32.62742,-117.0676,9.753035483870969,4.108945161290323,1.0,2015.0,POINT (-13031905.620390633 3845953.9801787045),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
47,32.63108,-117.01286,9.01024193548387,3.9080064516129034,1.0,2015.0,POINT (-13025811.99146461 3846437.761165738),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
48,32.63321,-117.03595,9.346606451612903,3.9411806451612907,1.0,2015.0,POINT (-13028382.358507028 3846719.3149470603),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
49,32.63357,-117.0937,10.098854838709677,4.253541935483871,1.0,2015.0,POINT (-13034811.059100337 3846766.902163768),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
50,32.63413,-117.08511,10.000593548387096,4.177638709677419,1.0,2015.0,POINT (-13033854.824674422 3846840.9271036624),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
51,32.63529,-117.05621,9.62796129032258,4.038074193548387,1.0,2015.0,POINT (-13030637.691390498 3846994.2659530225),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
52,32.63585,-117.07098,9.840816129032257,4.112474193548387,1.0,2015.0,POINT (-13032281.880269514 3847068.2923159865),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
53,32.63836,-116.99832,8.7619,3.7750967741935484,1.0,2015.0,POINT (-13024193.406068474 3847400.094742842),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
54,32.63906,-116.96063,8.225167741935485,3.616,1.0,2015.0,POINT (-13019997.774460476 3847492.6309443507),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
55,32.64004,-117.02122,9.152293548387096,3.9059645161290324,1.0,2015.0,POINT (-13026742.622407643 3847622.1828429587),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
56,32.64096,-117.08029,10.00018064516129,4.152993548387096,1.0,2015.0,POINT (-13033318.2647288 3847743.804284294),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
57,32.64229,-117.10523,10.20771935483871,4.2144935483870976,1.0,2015.0,POINT (-13036094.572829185 3847919.6287966776),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
58,32.64305,-117.0879,10.087258064516128,4.184038709677419,1.0,2015.0,POINT (-13034165.406053737 3848020.101120422),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
59,32.64399,-117.07012,9.86448387096774,4.086522580645161,1.0,2015.0,POINT (-13032186.145507433 3848144.3707018103),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
60,32.64541,-117.02096,9.14704193548387,3.903561290322581,1.0,2015.0,POINT (-13026713.679340035 3848332.099567472),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
